lake,distal.spine,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.223,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.226,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.229,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.233,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.242,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.243,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.249,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.25,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.266,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.27,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.292,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.293,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.301,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.303,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.308,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.314,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.316,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.328,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.334,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.341,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.348,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.353,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.358,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.36,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.361,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.365,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.366,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.37,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.372,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.374,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.377,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.382,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.391,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.393,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.393,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.435,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.435,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.467,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.471,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.489,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.519,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.53,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.545,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.546,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.559,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.563,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.565,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.577,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.595,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.612,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.637,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.66,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.678,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.686,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.707,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.712,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.718,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.75,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.775,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.793,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.824,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.826,,,,,,,,,,,,,,,,,,,,,
Boshkung,5.974,,,,,,,,,,,,,,,,,,,,,
Fairy,5.229,,,,,,,,,,,,,,,,,,,,,
Fairy,5.442,,,,,,,,,,,,,,,,,,,,,
Fairy,5.506,,,,,,,,,,,,,,,,,,,,,
Fairy,5.507,,,,,,,,,,,,,,,,,,,,,
Fairy,5.515,,,,,,,,,,,,,,,,,,,,,
Fairy,5.523,,,,,,,,,,,,,,,,,,,,,
Fairy,5.62,,,,,,,,,,,,,,,,,,,,,
Fairy,5.627,,,,,,,,,,,,,,,,,,,,,
Fairy,5.633,,,,,,,,,,,,,,,,,,,,,
Fairy,5.645,,,,,,,,,,,,,,,,,,,,,
Fairy,5.658,,,,,,,,,,,,,,,,,,,,,
Fairy,5.671,,,,,,,,,,,,,,,,,,,,,
Fairy,5.678,,,,,,,,,,,,,,,,,,,,,
Fairy,5.69,,,,,,,,,,,,,,,,,,,,,
Fairy,5.717,,,,,,,,,,,,,,,,,,,,,
Fairy,5.728,,,,,,,,,,,,,,,,,,,,,
Fairy,5.741,,,,,,,,,,,,,,,,,,,,,
Fairy,5.743,,,,,,,,,,,,,,,,,,,,,
Fairy,5.745,,,,,,,,,,,,,,,,,,,,,
Fairy,5.763,,,,,,,,,,,,,,,,,,,,,
Fairy,5.774,,,,,,,,,,,,,,,,,,,,,
Fairy,5.782,,,,,,,,,,,,,,,,,,,,,
Fairy,5.792,,,,,,,,,,,,,,,,,,,,,
Fairy,5.794,,,,,,,,,,,,,,,,,,,,,
Fairy,5.797,,,,,,,,,,,,,,,,,,,,,
Fairy,5.8,,,,,,,,,,,,,,,,,,,,,
Fairy,5.804,,,,,,,,,,,,,,,,,,,,,
Fairy,5.812,,,,,,,,,,,,,,,,,,,,,
Fairy,5.818,,,,,,,,,,,,,,,,,,,,,
Fairy,5.834,,,,,,,,,,,,,,,,,,,,,
Fairy,5.857,,,,,,,,,,,,,,,,,,,,,
Fairy,5.861,,,,,,,,,,,,,,,,,,,,,
Fairy,5.868,,,,,,,,,,,,,,,,,,,,,
Fairy,5.873,,,,,,,,,,,,,,,,,,,,,
Fairy,5.885,,,,,,,,,,,,,,,,,,,,,
Fairy,5.895,,,,,,,,,,,,,,,,,,,,,
Fairy,5.896,,,,,,,,,,,,,,,,,,,,,
Fairy,5.897,,,,,,,,,,,,,,,,,,,,,
Fairy,5.904,,,,,,,,,,,,,,,,,,,,,
Fairy,5.904,,,,,,,,,,,,,,,,,,,,,
Fairy,5.908,,,,,,,,,,,,,,,,,,,,,
Fairy,5.909,,,,,,,,,,,,,,,,,,,,,
Fairy,5.91,,,,,,,,,,,,,,,,,,,,,
Fairy,5.911,,,,,,,,,,,,,,,,,,,,,
Fairy,5.913,,,,,,,,,,,,,,,,,,,,,
Fairy,5.917,,,,,,,,,,,,,,,,,,,,,
Fairy,5.933,,,,,,,,,,,,,,,,,,,,,
Fairy,5.941,,,,,,,,,,,,,,,,,,,,,
Fairy,5.949,,,,,,,,,,,,,,,,,,,,,
Fairy,5.959,,,,,,,,,,,,,,,,,,,,,
Fairy,5.962,,,,,,,,,,,,,,,,,,,,,
Fairy,5.966,,,,,,,,,,,,,,,,,,,,,
Fairy,5.971,,,,,,,,,,,,,,,,,,,,,
Fairy,5.977,,,,,,,,,,,,,,,,,,,,,
Fairy,5.977,,,,,,,,,,,,,,,,,,,,,
Fairy,6.007,,,,,,,,,,,,,,,,,,,,,
Fairy,6.023,,,,,,,,,,,,,,,,,,,,,
Fairy,6.035,,,,,,,,,,,,,,,,,,,,,
Fairy,6.048,,,,,,,,,,,,,,,,,,,,,
Fairy,6.05,,,,,,,,,,,,,,,,,,,,,
Fairy,6.053,,,,,,,,,,,,,,,,,,,,,
Fairy,6.054,,,,,,,,,,,,,,,,,,,,,
Fairy,6.056,,,,,,,,,,,,,,,,,,,,,
Fairy,6.067,,,,,,,,,,,,,,,,,,,,,
Fairy,6.067,,,,,,,,,,,,,,,,,,,,,
Fairy,6.079,,,,,,,,,,,,,,,,,,,,,
Fairy,6.08,,,,,,,,,,,,,,,,,,,,,
Fairy,6.087,,,,,,,,,,,,,,,,,,,,,
Fairy,6.09,,,,,,,,,,,,,,,,,,,,,
Fairy,6.097,,,,,,,,,,,,,,,,,,,,,
Fairy,6.104,,,,,,,,,,,,,,,,,,,,,
Fairy,6.107,,,,,,,,,,,,,,,,,,,,,
Fairy,6.108,,,,,,,,,,,,,,,,,,,,,
Fairy,6.109,,,,,,,,,,,,,,,,,,,,,
Fairy,6.11,,,,,,,,,,,,,,,,,,,,,
Fairy,6.116,,,,,,,,,,,,,,,,,,,,,
Fairy,6.151,,,,,,,,,,,,,,,,,,,,,
Fairy,6.157,,,,,,,,,,,,,,,,,,,,,
Fairy,6.159,,,,,,,,,,,,,,,,,,,,,
Fairy,6.161,,,,,,,,,,,,,,,,,,,,,
Fairy,6.206,,,,,,,,,,,,,,,,,,,,,
Fairy,6.207,,,,,,,,,,,,,,,,,,,,,
Fairy,6.212,,,,,,,,,,,,,,,,,,,,,
Fairy,6.218,,,,,,,,,,,,,,,,,,,,,
Fairy,6.222,,,,,,,,,,,,,,,,,,,,,
Fairy,6.228,,,,,,,,,,,,,,,,,,,,,
Fairy,6.254,,,,,,,,,,,,,,,,,,,,,
Fairy,6.259,,,,,,,,,,,,,,,,,,,,,
Fairy,6.261,,,,,,,,,,,,,,,,,,,,,
Fairy,6.265,,,,,,,,,,,,,,,,,,,,,
Fairy,6.284,,,,,,,,,,,,,,,,,,,,,
Fairy,6.295,,,,,,,,,,,,,,,,,,,,,
Fairy,6.296,,,,,,,,,,,,,,,,,,,,,
Fairy,6.319,,,,,,,,,,,,,,,,,,,,,
Fairy,6.346,,,,,,,,,,,,,,,,,,,,,
Fairy,6.365,,,,,,,,,,,,,,,,,,,,,
Fairy,6.376,,,,,,,,,,,,,,,,,,,,,
Fairy,6.432,,,,,,,,,,,,,,,,,,,,,
Fairy,6.46,,,,,,,,,,,,,,,,,,,,,
Fairy,6.487,,,,,,,,,,,,,,,,,,,,,
Fairy,6.488,,,,,,,,,,,,,,,,,,,,,
Fairy,6.531,,,,,,,,,,,,,,,,,,,,,
Fairy,6.563,,,,,,,,,,,,,,,,,,,,,
