EggCode,PostEMass,Sex,H.Mass,SVL
C,0.37,F,0.47,24
M,0.37,M,0.49,23
M,0.37,F,0.59,21
M,0.37,M,0.3,21
C,0.37,M,0.51,25
C,0.37,M,0.6,25
M,0.37,M,0.51,25
M,0.37,M,0.52,24
M,0.37,M,0.53,24
M,0.37,M,0.47,24
C,0.37,M,0.57,25
M,0.37,M,0.56,25
M,0.37,F,0.55,24
M,0.37,F,0.53,25
C,0.37,M,0.57,25
M,0.37,F,0.39,23
C,0.37,M,0.54,26
C,0.38,M,0.49,23
C,0.38,F,0.53,23
M,0.38,M,0.54,25
C,0.38,F,0.56,24
C,0.38,M,0.59,25
M,0.38,M,0.46,23
M,0.38,F,0.53,25
C,0.38,M,0.61,25
C,0.38,F,0.51,24
C,0.38,F,0.54,25
M,0.38,F,0.54,24
M,0.38,M,0.61,25
C,0.38,F,0.54,24
C,0.38,M,0.59,25
C,0.38,M,0.59,25
M,0.38,F,0.52,24
M,0.38,M,0.54,25
M,0.38,F,0.57,25
C,0.38,F,0.53,25
C,0.38,F,0.5,24
C,0.38,F,0.52,25
M,0.38,F,0.56,24
C,0.38,M,0.49,25
C,0.38,F,0.51,24
M,0.38,M,0.53,25
M,0.38,F,0.52,24
M,0.38,M,0.56,25
M,0.38,M,0.58,24
M,0.38,M,0.58,25
C,0.38,M,0.54,24
M,0.38,M,0.55,25
C,0.38,M,0.52,24
M,0.38,F,0.57,24
M,0.38,F,0.5,23
M,0.38,M,0.56,25
C,0.38,M,0.56,25
M,0.38,F,0.52,24
M,0.38,F,0.55,25
M,0.38,M,0.57,24
M,0.38,F,0.46,23
M,0.38,F,0.47,24
M,0.38,F,0.49,25
M,0.38,F,0.54,23
M,0.38,M,0.44,23
C,0.38,F,0.47,22
M,0.38,M,0.56,25
M,0.38,F,0.51,24
M,0.38,F,0.55,24
C,0.39,M,0.61,24
C,0.39,F,0.43,23
C,0.39,F,0.54,25
C,0.39,M,0.55,24
C,0.39,F,0.59,25
C,0.39,F,0.62,26
C,0.39,M,0.52,25
M,0.39,F,0.59,25
M,0.39,M,0.64,25
C,0.39,F,0.55,24
C,0.39,F,0.58,26
C,0.39,F,0.49,24
C,0.39,M,0.51,25
C,0.39,M,0.54,25
M,0.39,F,0.58,25
C,0.39,F,0.52,24
C,0.39,F,0.52,24
M,0.39,F,0.53,25
M,0.39,M,0.58,25
C,0.39,F,0.61,25
C,0.39,M,0.54,25
M,0.39,F,0.57,25
C,0.39,F,0.54,24
M,0.39,M,0.58,25
C,0.39,M,0.61,25
M,0.39,M,0.47,24
M,0.39,F,0.5,24
C,0.39,F,0.52,25
C,0.39,M,0.53,25
M,0.39,M,0.51,24
M,0.39,F,0.58,24
M,0.39,M,0.54,24
C,0.39,M,0.49,24
C,0.39,M,0.5,24
C,0.39,M,0.52,25
M,0.39,F,0.53,25
M,0.39,M,0.54,24
M,0.39,M,0.53,25
M,0.39,F,0.44,23
C,0.39,M,0.54,24
C,0.39,F,0.56,24.5
M,0.39,M,0.61,24
M,0.39,F,0.54,24
M,0.39,M,0.49,24
M,0.4,M,0.52,25
C,0.4,F,0.52,24
C,0.4,F,0.5,24
M,0.4,F,0.44,24
C,0.4,F,0.55,25
C,0.4,F,0.57,24
C,0.4,M,0.59,25
C,0.4,F,0.6,25
M,0.4,F,0.54,25
M,0.4,M,0.55,25
C,0.4,F,0.57,24
C,0.4,F,0.61,26
C,0.4,F,0.63,26
C,0.4,F,0.57,26
M,0.4,F,0.57,25
C,0.4,F,0.62,26
C,0.4,M,0.58,24
C,0.4,F,0.56,25
M,0.4,F,0.55,23
C,0.4,F,0.58,23
C,0.4,F,0.63,25
M,0.4,F,0.6,26
M,0.4,M,0.61,25
C,0.4,F,0.57,26
M,0.4,M,0.5,24
C,0.4,F,0.51,24
M,0.4,M,0.53,24
M,0.4,F,0.46,24
M,0.4,F,0.51,24
C,0.4,F,0.52,23
M,0.4,M,0.55,24
C,0.4,M,0.59,26
C,0.4,F,0.6,25
M,0.4,M,0.59,25
M,0.4,F,0.5,23
C,0.4,F,0.56,25
M,0.4,M,0.56,24
M,0.4,M,0.52,24
C,0.4,M,0.54,25
C,0.4,F,0.55,25
C,0.4,M,0.56,25
C,0.4,M,0.6,24
M,0.4,F,0.54,24.5
M,0.4,M,0.55,26
M,0.4,F,0.49,24
C,0.4,F,0.51,25
C,0.41,M,0.58,25
C,0.41,F,0.6,26
C,0.41,M,0.6,25
M,0.41,F,0.47,24
C,0.41,F,0.58,25
C,0.41,M,0.6,24
C,0.41,F,0.54,24
C,0.41,F,0.59,25
C,0.41,F,0.62,26
C,0.41,M,0.63,25
C,0.41,M,0.64,25
C,0.41,M,0.67,26
C,0.41,F,0.56,25
M,0.41,F,0.49,24
C,0.41,F,0.57,25
C,0.41,F,0.6,25
C,0.41,F,0.54,24
C,0.41,F,0.5,23
C,0.41,F,0.6,25
M,0.41,F,0.5,23
M,0.41,M,0.57,24
M,0.41,F,0.65,26
C,0.41,M,0.58,26
M,0.41,M,0.56,25
C,0.41,M,0.57,25
M,0.41,M,0.54,24
M,0.41,F,0.57,26
M,0.41,F,0.62,25
C,0.41,F,0.48,24
M,0.41,F,0.52,24
C,0.41,M,0.58,24
M,0.41,M,0.52,24
C,0.41,F,0.57,25
C,0.41,F,0.62,25
C,0.41,F,0.54,24
M,0.41,M,0.5,24
C,0.41,M,0.46,23
C,0.41,F,0.54,24
C,0.41,M,0.59,24
C,0.41,F,0.63,25
C,0.41,F,0.67,25
M,0.41,F,0.59,26
M,0.41,M,0.58,24
M,0.41,M,0.54,25
C,0.41,M,0.56,25
C,0.41,M,0.61,24
M,0.41,M,0.65,25
M,0.41,M,0.52,24
M,0.41,F,0.54,24
C,0.41,M,0.54,25
M,0.41,F,0.46,23
C,0.41,F,0.59,25
C,0.41,F,0.57,24
M,0.41,M,0.6,26
M,0.41,M,0.5,25
C,0.41,F,0.48,24
M,0.41,F,0.57,24
C,0.41,M,0.58,24
C,0.41,M,0.66,25
M,0.41,F,0.48,24
M,0.41,M,0.51,24
C,0.41,M,0.53,25
C,0.41,F,0.53,25
C,0.41,F,0.55,25
C,0.41,M,0.57,26
M,0.41,M,0.52,25
C,0.41,M,0.54,24
C,0.41,M,0.55,25
C,0.41,M,0.51,24
C,0.42,F,0.5,23
C,0.42,F,0.48,24
C,0.42,F,0.54,25
C,0.42,M,0.59,25
C,0.42,F,0.56,25
C,0.42,M,0.58,26
C,0.42,F,0.57,26
C,0.42,F,0.56,25
C,0.42,F,0.61,25
C,0.42,M,0.6,24
C,0.42,M,0.61,26
C,0.42,F,0.58,26
M,0.42,F,0.53,24
C,0.42,M,0.61,24
C,0.42,M,0.62,25
M,0.42,F,0.61,25
C,0.42,F,0.58,25
C,0.42,F,0.6,26
C,0.42,M,0.64,25
C,0.42,F,0.45,24
C,0.42,F,0.55,24
C,0.42,M,0.56,25
C,0.42,F,0.6,25
C,0.42,F,0.59,24
M,0.42,F,0.59,25
C,0.42,F,0.55,24
C,0.42,F,0.6,26
M,0.42,M,0.59,26
C,0.42,M,0.53,26
C,0.42,F,0.63,25
C,0.42,F,0.54,25
C,0.42,F,0.55,25
M,0.42,F,0.6,25
M,0.42,F,0.51,24
C,0.42,F,0.61,25
M,0.42,F,0.56,25
C,0.42,M,0.56,25
M,0.42,F,0.57,25
C,0.42,F,0.58,25
C,0.42,M,0.51,24
C,0.42,M,0.61,26
C,0.42,M,0.57,25
M,0.42,F,0.6,25
C,0.42,F,0.54,24
C,0.42,F,0.54,24
M,0.42,M,0.52,25
M,0.42,M,0.55,25
M,0.42,F,0.57,24
M,0.42,M,0.64,24
M,0.42,M,0.55,25
M,0.42,F,0.55,24
M,0.42,M,0.47,23
C,0.42,M,0.56,25
C,0.43,F,0.52,25
C,0.43,F,0.59,24
C,0.43,M,0.6,25
M,0.43,M,0.37,23
C,0.43,F,0.68,25
C,0.43,M,0.55,26
C,0.43,M,0.55,25
C,0.43,F,0.58,26
C,0.43,M,0.61,24
C,0.43,M,0.62,25
C,0.43,M,0.58,25
C,0.43,M,0.62,25
C,0.43,M,0.64,25
C,0.43,F,0.59,25
M,0.43,F,0.63,25
C,0.43,M,0.57,25
C,0.43,F,0.57,24
C,0.43,F,0.62,25
C,0.43,F,0.63,25
C,0.43,F,0.59,25
C,0.43,F,0.59,25
C,0.43,F,0.6,25
M,0.43,M,0.47,25
C,0.43,M,0.53,23
C,0.43,M,0.6,25
C,0.43,M,0.62,25
C,0.43,M,0.58,26
C,0.43,M,0.64,26
M,0.43,M,0.65,26
M,0.43,F,0.62,25
C,0.43,M,0.65,25
C,0.43,F,0.57,25
C,0.43,M,0.61,24
C,0.43,M,0.59,25
C,0.43,F,0.62,26
C,0.43,F,0.62,24
C,0.43,F,0.66,24
C,0.43,M,0.53,25
M,0.43,M,0.62,26
C,0.43,M,0.56,25
C,0.43,M,0.61,26
C,0.43,F,0.63,25
C,0.43,F,0.39,23
C,0.43,M,0.61,25
C,0.43,M,0.67,26
C,0.43,F,0.55,24
C,0.43,F,0.6,25
C,0.43,M,0.63,25
C,0.43,M,0.54,25
C,0.43,M,0.57,25
M,0.43,F,0.58,25
M,0.43,M,0.52,25
C,0.43,M,0.6,25
M,0.43,M,0.64,25
C,0.43,M,0.58,24
C,0.43,F,0.52,25
C,0.43,F,0.55,25
C,0.43,F,0.54,24
C,0.44,M,0.58,25
C,0.44,F,0.47,24
C,0.44,F,0.6,25
C,0.44,M,0.56,24
C,0.44,F,0.58,25
M,0.44,F,0.65,26
C,0.44,M,0.67,25
C,0.44,M,0.45,24
M,0.44,F,0.59,24
C,0.44,F,0.6,25
C,0.44,M,0.57,25
M,0.44,M,0.61,26
C,0.44,F,0.57,25
C,0.44,F,0.57,24
C,0.44,M,0.55,24
C,0.44,M,0.67,25
C,0.44,F,0.6,25
C,0.44,F,0.58,26
M,0.44,F,0.64,25
C,0.44,M,0.65,26
C,0.44,F,0.57,25
C,0.44,M,0.64,25
C,0.44,M,0.64,25
C,0.44,F,0.6,26
C,0.44,F,0.64,25
C,0.44,M,0.64,26
C,0.44,M,0.59,26
M,0.44,M,0.62,27
C,0.44,F,0.55,23
C,0.44,F,0.62,26
C,0.44,M,0.67,26
M,0.44,M,0.55,24
C,0.44,F,0.59,23
C,0.44,F,0.57,25
M,0.44,F,0.49,26
C,0.44,M,0.63,26
C,0.44,F,0.61,25
C,0.44,M,0.63,26
C,0.44,M,0.65,25
M,0.44,F,0.58,23
C,0.44,M,0.64,25
C,0.44,M,0.57,25
C,0.44,M,0.61,25
C,0.44,F,0.62,25
C,0.44,F,0.75,26
C,0.44,M,0.62,25
M,0.44,M,0.59,25
C,0.44,M,0.58,25
C,0.44,F,0.64,25
C,0.44,F,0.5,25
C,0.44,F,0.59,25
C,0.45,M,0.63,25
C,0.45,M,0.58,26
C,0.45,F,0.6,26
C,0.45,M,0.58,26
C,0.45,F,0.57,25
C,0.45,M,0.66,27
C,0.45,M,0.6,25
C,0.45,F,0.59,26
C,0.45,M,0.65,26
C,0.45,M,0.65,26
C,0.45,M,0.67,26
C,0.45,F,0.63,25
C,0.45,M,0.64,23
C,0.45,F,0.58,25
C,0.45,F,0.61,25
C,0.45,M,0.63,26
C,0.45,F,0.63,26
C,0.45,F,0.68,26
C,0.45,F,0.68,25
C,0.45,F,0.59,25
C,0.45,M,0.64,26
C,0.45,F,0.72,26
C,0.45,M,0.42,22
C,0.45,M,0.61,24
C,0.45,M,0.61,25
C,0.45,F,0.58,25
C,0.45,M,0.66,25
C,0.45,M,0.66,24
M,0.45,M,0.65,26
C,0.45,F,0.61,23
C,0.45,M,0.57,25
C,0.45,M,0.58,26
C,0.45,M,0.59,25
C,0.45,F,0.61,25
C,0.45,M,0.66,26
C,0.45,F,0.57,25
C,0.45,F,0.59,25
M,0.45,F,0.64,25
C,0.45,F,0.65,25
C,0.45,M,0.64,26
C,0.45,F,0.74,25
C,0.45,F,0.62,25
M,0.45,M,0.62,26
C,0.45,F,0.59,24
C,0.45,M,0.61,26
C,0.45,M,0.55,26
M,0.45,F,0.56,24
C,0.45,M,0.58,26
C,0.45,M,0.57,26
C,0.45,M,0.57,25
C,0.46,M,0.62,25
C,0.46,M,0.59,24
C,0.46,M,0.62,26
C,0.46,F,0.62,25
C,0.46,F,0.62,26
C,0.46,F,0.65,25
C,0.46,F,0.66,25
C,0.46,F,0.72,26
M,0.46,M,0.58,24
C,0.46,M,0.6,26
C,0.46,F,0.66,26
C,0.46,F,0.6,26
M,0.46,M,0.5,25
C,0.46,F,0.61,25
C,0.46,F,0.62,22
C,0.46,F,0.35,22
C,0.46,M,0.67,26
C,0.46,F,0.61,25
C,0.46,M,0.62,26
C,0.46,F,0.6,25
C,0.46,F,0.62,26
C,0.46,F,0.62,26
C,0.46,F,0.56,25
C,0.46,F,0.57,25
C,0.46,M,0.65,25
C,0.46,F,0.66,25
C,0.46,F,0.65,24
C,0.46,M,0.6,22
C,0.46,M,0.62,25
C,0.46,M,0.69,26
M,0.46,M,0.6,25
C,0.46,F,0.6,25
C,0.46,M,0.6,26
C,0.46,M,0.64,25
C,0.46,F,0.66,25
M,0.46,F,0.56,25
C,0.46,F,0.67,25
C,0.46,M,0.64,26
C,0.46,F,0.66,26
C,0.46,M,0.58,26
C,0.47,F,0.61,26.5
C,0.47,F,0.65,26
C,0.47,M,0.62,26
C,0.47,M,0.65,26
C,0.47,F,0.6,26
C,0.47,F,0.69,25
C,0.47,F,0.69,26
C,0.47,F,0.62,25
C,0.47,M,0.68,23
C,0.47,M,0.54,23
C,0.47,M,0.36,26
C,0.47,M,0.64,26
C,0.47,M,0.69,26
C,0.47,M,0.66,26
C,0.47,F,0.67,25
C,0.47,F,0.66,26
C,0.47,F,0.65,26
C,0.47,M,0.7,26
M,0.47,F,0.64,25
C,0.47,M,0.65,25
C,0.47,M,0.6,26
C,0.47,F,0.64,25
C,0.47,F,0.66,26
M,0.47,M,0.69,26
M,0.47,F,0.66,26
C,0.47,F,0.61,24
M,0.47,M,0.64,25
M,0.47,M,0.56,24
C,0.47,F,0.61,26
C,0.47,M,0.62,26
C,0.47,M,0.63,25
C,0.47,F,0.64,24
C,0.47,M,0.64,25
C,0.47,M,0.67,27
C,0.47,M,0.6,26
C,0.47,M,0.64,25
C,0.47,F,0.66,26
C,0.47,F,0.61,25
C,0.47,F,0.61,26
C,0.47,M,0.53,25
C,0.47,F,0.6,25
C,0.47,F,0.65,26
C,0.47,M,0.62,23
C,0.47,M,0.7,26
C,0.48,M,0.59,25
C,0.48,F,0.59,26
C,0.48,F,0.62,26
C,0.48,M,0.68,26
C,0.48,M,0.63,26
C,0.48,F,0.69,25
C,0.48,F,0.72,24
C,0.48,M,0.62,26
C,0.48,M,0.66,26
C,0.48,F,0.68,25
C,0.48,M,0.65,27
C,0.48,F,0.68,25
C,0.48,F,0.7,26
C,0.48,M,0.72,25
C,0.48,M,0.7,26
C,0.48,F,0.58,24
C,0.48,F,0.62,24
C,0.48,F,0.61,25
C,0.48,F,0.62,24
C,0.48,M,0.62,26
C,0.48,F,0.69,25
C,0.48,M,0.7,26
C,0.48,M,0.71,26
C,0.48,M,0.64,27
C,0.48,F,0.71,26
M,0.48,M,0.62,26
C,0.48,M,0.64,25
C,0.48,M,0.68,25
C,0.48,F,0.6,25
C,0.48,M,0.62,25
C,0.48,M,0.62,25.5
C,0.48,M,0.64,25
C,0.48,F,0.62,26
C,0.48,F,0.69,26
C,0.48,M,0.63,26
C,0.48,F,0.65,25
C,0.48,M,0.7,25
C,0.48,F,0.6,25
C,0.48,F,0.6,25
C,0.49,F,0.63,26
C,0.49,F,0.66,25
C,0.49,F,0.67,25
C,0.49,F,0.67,25
C,0.49,F,0.62,26
C,0.49,F,0.64,25
C,0.49,M,0.71,26
C,0.49,F,0.64,25
C,0.49,F,0.66,26
C,0.49,M,0.68,25
C,0.49,F,0.65,26
C,0.49,F,0.59,25
M,0.49,F,0.72,26
C,0.49,F,0.65,26
C,0.49,F,0.72,27
C,0.49,M,0.72,27
C,0.49,F,0.67,25
C,0.49,F,0.69,26
C,0.49,M,0.59,24
C,0.49,F,0.64,24
C,0.49,M,0.69,27
M,0.49,M,0.6,25
C,0.49,M,0.55,21
C,0.49,M,0.66,21
C,0.49,M,0.62,26
M,0.49,F,0.42,23
C,0.49,M,0.68,27
M,0.49,M,0.54,23
C,0.49,M,0.62,25
C,0.49,M,0.68,26
C,0.49,F,0.63,25
C,0.49,M,0.6,26
M,0.49,F,0.63,25
M,0.49,F,0.63,25
M,0.49,M,0.48,24
C,0.5,F,0.5,23
C,0.5,F,0.61,25
C,0.5,F,0.63,25
C,0.5,M,0.65,26
C,0.5,M,0.66,26
C,0.5,M,0.67,25
C,0.5,F,0.68,26
C,0.5,M,0.7,25
M,0.5,M,0.66,20
C,0.5,M,0.68,26
C,0.5,F,0.69,26
C,0.5,F,0.7,25
C,0.5,M,0.7,26
C,0.5,M,0.71,26
C,0.5,M,0.68,27
C,0.5,F,0.67,26
C,0.5,F,0.72,27
C,0.5,F,0.66,26
C,0.5,M,0.68,21
C,0.5,F,0.65,26
C,0.5,F,0.66,25
C,0.5,F,0.67,26
C,0.5,M,0.7,26
C,0.5,M,0.6,25
C,0.5,M,0.69,25
C,0.5,F,0.65,25
C,0.5,F,0.68,26
C,0.5,F,0.64,25
C,0.5,M,0.59,24
C,0.5,F,0.72,24
M,0.5,F,0.57,25
C,0.51,F,0.62,25
C,0.51,M,0.7,25
C,0.51,M,0.7,26
C,0.51,F,0.76,25
C,0.51,F,0.67,26
M,0.51,M,0.66,26
C,0.51,F,0.69,27
C,0.51,F,0.73,27
C,0.51,M,0.69,26
C,0.51,M,0.68,25
C,0.51,M,0.65,25
C,0.51,M,0.68,26
C,0.51,M,0.68,26
C,0.51,M,0.73,26
C,0.51,M,0.61,25
C,0.51,F,0.69,26
C,0.52,F,0.66,26
C,0.52,M,0.62,25
C,0.52,F,0.69,26
C,0.52,F,0.7,27
C,0.52,F,0.73,26
C,0.52,F,0.67,25
C,0.52,F,0.66,26
C,0.52,M,0.68,25
C,0.52,F,0.72,24
C,0.52,M,0.76,26
C,0.52,F,0.65,25
C,0.52,F,0.67,25
M,0.52,M,0.54,24
C,0.52,F,0.71,26
C,0.52,F,0.67,26
C,0.52,M,0.69,26
C,0.52,F,0.72,25
C,0.52,M,0.7,25
C,0.53,M,0.63,26
C,0.53,F,0.68,26
M,0.53,F,0.58,27
C,0.53,F,0.71,26
C,0.53,M,0.62,24
C,0.53,F,0.7,25
C,0.53,M,0.7,27
M,0.53,F,0.63,25
M,0.53,F,0.54,25
C,0.53,M,0.6,26
C,0.53,F,0.71,26
C,0.53,M,0.62,26
C,0.53,M,0.69,25
C,0.53,M,0.66,26
C,0.54,F,0.71,26
C,0.54,M,0.72,27
C,0.54,M,0.75,26
C,0.55,M,0.77,26
C,0.55,F,0.71,27
C,0.55,M,0.65,26
C,0.56,F,0.77,27
C,0.56,M,0.67,25
C,0.56,F,0.71,26
C,0.56,M,0.68,24.5
C,0.57,M,0.69,27
C,0.57,F,0.74,26
C,0.57,M,0.62,25
C,0.57,F,0.71,27
C,0.58,F,0.66,26
C,0.59,M,0.76,26
C,0.59,F,0.75,26
C,0.59,M,0.76,26
C,0.59,M,0.76,26
C,0.59,M,0.63,26
C,0.59,F,0.74,26
C,0.6,M,0.62,25
C,0.6,M,0.71,28
C,0.61,F,0.51,24
C,0.63,M,0.75,26
C,0.63,F,0.76,27
C,0.63,M,0.8,27
C,0.64,M,0.73,26
C,0.73,F,0.74,26
C,0.91,M,0.54,24
C,0.91,F,0.64,25
